Station,Site Name,Network Code,Blockette 052,Azimuth,Channel Flags,Channel Identifier,Data Format Identifier Code,Data Record Length,Dip,Elevation,End Date,Instrument Identifier,Latitude,Local Depth,Location Identifier,Longitude,Max Clock Drift,Number Of Comments,Optional Comment,Record Id,Record Type,Sample Rate,Start Date,Subchannel Identifier,Units Of Calibration Input,Units Of Signal Response,Update Flag,Blockette 058,Frequency,Number Of History Values,Sensitivity Gain,Stage Sequence Number
ABVI,"Anegada, BVI",PR,Channel Identifier Blockette,90.0,CG,SHE,1,12,0.0,8.0,2009-03-20T16:00:00.000000Z,2,18.72961,0.0,,-64.33254,0.0,0,IASPE-01,None,S,100.0,1992-01-01T14:00:00.000000Z,0,2,1,N,Channel Sensitivity Gain Blockette,1.0,0,21857100000.0,0
ABVI,"Anegada, BVI",PR,Channel Identifier Blockette,0.0,CG,SHN,1,12,0.0,8.0,2009-03-20T16:00:00.000000Z,2,18.72961,0.0,,-64.33254,0.0,0,IASPE-01,None,S,100.0,1992-01-01T14:00:00.000000Z,0,2,1,N,Channel Sensitivity Gain Blockette,1.0,0,21857100000.0,0
ABVI,"Anegada, BVI",PR,Channel Identifier Blockette,0.0,CG,SHZ,1,12,-90.0,8.0,2009-03-20T16:00:00.000000Z,2,18.72961,0.0,,-64.33254,0.0,0,IASPE-01,None,S,100.0,1992-01-01T14:00:00.000000Z,0,2,1,N,Channel Sensitivity Gain Blockette,1.0,0,21857100000.0,0
ABVI,"Anegada, BVI",PR,Channel Identifier Blockette,90.0,CG,BHE,2,12,0.0,7.9,2007-09-11T00:00:00.000000Z,3,18.72961,1.0,,-64.33254,0.0,0,,None,S,40.0,2007-04-25T00:00:00.000000Z,0,2,5,N,Channel Sensitivity Gain Blockette,1.0,0,838860000.0,0
ABVI,"Anegada, BVI",PR,Channel Identifier Blockette,0.0,CG,BHN,2,12,0.0,7.9,2007-09-11T00:00:00.000000Z,3,18.72961,1.0,,-64.33254,0.0,0,,None,S,40.0,2007-04-25T00:00:00.000000Z,0,2,5,N,Channel Sensitivity Gain Blockette,1.0,0,838860000.0,0
ABVI,"Anegada, BVI",PR,Channel Identifier Blockette,0.0,CG,BHZ,2,12,-90.0,7.9,2007-09-11T00:00:00.000000Z,3,18.72961,1.0,,-64.33254,0.0,0,,None,S,40.0,2007-04-25T00:00:00.000000Z,0,2,5,N,Channel Sensitivity Gain Blockette,1.0,0,838860000.0,0
ABVI,"Anegada, BVI",PR,Channel Identifier Blockette,90.0,CG,HNE,2,12,0.0,7.9,2007-09-11T00:00:00.000000Z,4,18.72961,1.0,,-64.33254,0.0,0,,None,S,100.0,2007-04-25T00:00:00.000000Z,0,2,8,N,Channel Sensitivity Gain Blockette,1.0,0,427693.0,0
ABVI,"Anegada, BVI",PR,Channel Identifier Blockette,0.0,CG,HNN,2,12,0.0,7.9,2007-09-11T00:00:00.000000Z,4,18.72961,1.0,,-64.33254,0.0,0,,None,S,100.0,2007-04-25T00:00:00.000000Z,0,2,8,N,Channel Sensitivity Gain Blockette,1.0,0,427693.0,0
ABVI,"Anegada, BVI",PR,Channel Identifier Blockette,0.0,CG,HNZ,2,12,-90.0,7.9,2007-09-11T00:00:00.000000Z,4,18.72961,1.0,,-64.33254,0.0,0,,None,S,100.0,2007-04-25T00:00:00.000000Z,0,2,8,N,Channel Sensitivity Gain Blockette,1.0,0,427693.0,0
ABVI,"Anegada, BVI",PR,Channel Identifier Blockette,90.0,CG,BHE,2,12,0.0,7.9,2009-03-24T00:00:00.000000Z,5,18.72961,1.0,,-64.33254,0.0,0,,None,S,40.0,2007-09-11T00:00:00.000000Z,0,2,5,N,Channel Sensitivity Gain Blockette,1.0,0,838860000.0,0
