ID,BULLETIN NUM,DATE,TIME,LAT,LON,DEPTH,MAGNITUDE,MAG TYPE,STATIONS,PHASES,FE REGION,STATUS,NETWORK,INTENSITY,TIMEZONE,ERZ,ERH,RMS,GAP,QUALITY,SOURCE,PRSN ID,datetime,time_id
20200101000156,00,2020-01-01,00:01:56.590,19.2175,-67.1275,12,2.75,Md,3,3,22,PRELIMINAR,RSPR,I,UTC,31.47,32.93,0.45,358,D,DN,0,2020-01-01 00:01:56.590000+00:00,20200101000156
20200101000338,00,2020-01-01,00:03:38.210,19.0766,-67.0901,6,2.55,Md,2,2,23,PRELIMINAR,RSPR,I,UTC,3.30,13.28,0.16,357,C,DN,0,2020-01-01 00:03:38.210000+00:00,20200101000338
20200101000509,00,2020-01-01,00:05:09.440,17.8705,-66.8541,6,1.81,Md,4,4,10,PRELIMINAR,RSPR,I,UTC,0.47,0.88,0.06,311,B,DN,0,2020-01-01 00:05:09.440000+00:00,20200101000509
20200101000536,00,2020-01-01,00:05:36.930,17.8993,-66.8636,8,1.84,Md,5,5,10,PRELIMINAR,RSPR,I,UTC,1.38,1.09,0.03,304,B,DN,0,2020-01-01 00:05:36.930000+00:00,20200101000536
20200101000920,00,2020-01-01,00:09:20.060,17.9066,-66.8685,8,1.64,Md,3,3,10,PRELIMINAR,RSPR,I,UTC,6.75,4.70,0.05,299,B,DN,0,2020-01-01 00:09:20.060000+00:00,20200101000920
20200101001025,00,2020-01-01,00:10:25.300,19.1233,-67.3435,10,0.00,Md,4,4,22,PRELIMINAR,RSPR,I,UTC,31.61,9.94,0.56,336,D,DN,0,2020-01-01 00:10:25.300000+00:00,20200101001025
20200101001043,00,2020-01-01,00:10:43.850,19.1933,-67.8365,28,3.08,Md,8,8,20,PRELIMINAR,RSPR,I,UTC,30.83,3.45,0.41,324,C,DN,0,2020-01-01 00:10:43.850000+00:00,20200101001043
20200101001232,00,2020-01-01,00:12:32.240,17.8876,-66.8311,3,2.02,Md,5,5,10,PRELIMINAR,RSPR,I,UTC,0.45,1.01,0.07,283,B,DN,0,2020-01-01 00:12:32.240000+00:00,20200101001232
20200101001530,00,2020-01-01,00:15:30.390,17.9508,-66.8518,4,2.03,Md,4,4,2,PRELIMINAR,RSPR,I,UTC,3.22,1.24,0.19,263,C,DN,0,2020-01-01 00:15:30.390000+00:00,20200101001530
20200101001815,00,2020-01-01,00:18:15.070,17.9351,-66.8971,4,1.99,Md,5,5,2,PRELIMINAR,RSPR,I,UTC,1.02,1.53,0.28,261,C,DN,0,2020-01-01 00:18:15.070000+00:00,20200101001815
20200101002001,00,2020-01-01,00:20:01.780,17.9241,-66.8063,7,1.77,Md,3,3,10,PRELIMINAR,RSPR,I,UTC,2.27,7.74,0.12,335,C,DN,0,2020-01-01 00:20:01.780000+00:00,20200101002001
20200101002345,00,2020-01-01,00:23:45.090,19.0833,-67.9015,10,0.00,Md,12,12,20,PRELIMINAR,RSPR,I,UTC,31.61,3.16,0.49,324,C,DN,0,2020-01-01 00:23:45.090000+00:00,20200101002345
20200101002506,00,2020-01-01,00:25:06.670,17.9060,-66.8375,12,1.92,Md,6,6,10,PRELIMINAR,RSPR,I,UTC,1.36,1.40,0.21,230,C,DN,0,2020-01-01 00:25:06.670000+00:00,20200101002506
20200101002819,00,2020-01-01,00:28:19.480,17.9121,-66.8848,5,1.48,Md,3,3,10,PRELIMINAR,RSPR,I,UTC,0.59,1.16,0.13,287,B,DN,0,2020-01-01 00:28:19.480000+00:00,20200101002819
20200101003009,00,2020-01-01,00:30:09.070,17.9038,-66.5831,11,2.25,Md,9,9,10,PRELIMINAR,RSPR,I,UTC,0.82,1.11,0.26,208,C,DN,0,2020-01-01 00:30:09.070000+00:00,20200101003009
20200101003202,00,2020-01-01,00:32:02.370,17.9060,-66.8891,4,1.78,Md,5,5,10,PRELIMINAR,RSPR,I,UTC,0.40,0.67,0.10,231,B,DN,0,2020-01-01 00:32:02.370000+00:00,20200101003202
20200101003328,00,2020-01-01,00:33:28.440,17.8433,-66.8680,6,1.70,Md,4,4,10,PRELIMINAR,RSPR,I,UTC,1.17,2.69,0.30,310,C,DN,0,2020-01-01 00:33:28.440000+00:00,20200101003328
20200101003458,00,2020-01-01,00:34:58.180,17.9090,-66.8786,4,1.91,Md,8,8,10,PRELIMINAR,RSPR,I,UTC,0.54,0.90,0.17,229,C,DN,0,2020-01-01 00:34:58.180000+00:00,20200101003458
20200101003759,00,2020-01-01,00:38:00.890,17.8698,-66.8311,7,2.80,Md,14,14,10,PRELIMINAR,RSPR,I,UTC,0.55,0.89,0.23,228,C,DN,0,2020-01-01 00:38:00.890000+00:00,20200101003800
20200101004445,00,2020-01-01,00:44:45.880,17.9470,-66.9018,4,2.27,Md,6,6,2,PRELIMINAR,RSPR,I,UTC,0.83,1.16,0.28,209,C,DN,0,2020-01-01 00:44:45.880000+00:00,20200101004445
20200101005701,00,2020-01-01,00:57:01.290,19.1285,-67.2105,8,2.67,Md,3,3,22,PRELIMINAR,RSPR,I,UTC,30.86,27.59,0.44,357,D,DN,0,2020-01-01 00:57:01.290000+00:00,20200101005701
